[10-12-2018 14:58:16]: matej hat Kabo mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 15:34:01]: LargePeach hat Kabo mit Waffe 31 an Part 7 getroffen, Schaden: 7
[10-12-2018 15:34:41]: Solid_Snake hat Kabo mit Waffe 31 an Part 5 getroffen, Schaden: 7
[10-12-2018 15:34:42]: Solid_Snake hat Kabo mit Waffe 31 an Part 3 getroffen, Schaden: 8
[10-12-2018 15:34:42]: Solid_Snake hat Kabo mit Waffe 31 an Part 7 getroffen, Schaden: 7
[10-12-2018 15:34:45]: Solid_Snake hat Kabo mit Waffe 31 an Part 6 getroffen, Schaden: 7
[10-12-2018 15:35:09]: LargePeach hat Kabo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[10-12-2018 15:35:09]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:10]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:10]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:10]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:10]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:10]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:10]: Kabo hat LargePeach mit Waffe 29 an Part 9 getroffen, Schaden: 9
[10-12-2018 15:35:10]: Kabo hat LargePeach mit Waffe 29 an Part 6 getroffen, Schaden: 8
[10-12-2018 15:35:11]: Kabo hat LargePeach mit Waffe 29 an Part 5 getroffen, Schaden: 8
[10-12-2018 15:35:11]: LargePeach hat Kabo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[10-12-2018 15:35:11]: Kabo hat LargePeach mit Waffe 29 an Part 5 getroffen, Schaden: 8
[10-12-2018 15:35:11]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:11]: LargePeach hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 15:35:11]: LargePeach hat Kabo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[10-12-2018 15:35:12]: LargePeach hat Kabo mit Waffe 29 an Part 5 getroffen, Schaden: 8
[10-12-2018 15:35:12]: LargePeach hat Kabo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[10-12-2018 17:39:28]: LargePeach hat Kabo mit Waffe 24 an Part 6 getroffen, Schaden: 30
[10-12-2018 17:39:29]: Kabo hat LargePeach mit Waffe 24 an Part 6 getroffen, Schaden: 30
[10-12-2018 17:39:31]: Blu3Xo hat LargePeach mit Waffe 24 an Part 6 getroffen, Schaden: 30
[10-12-2018 17:39:31]: Kabo hat LargePeach mit Waffe 24 an Part 5 getroffen, Schaden: 30
[10-12-2018 17:39:31]: LargePeach hat Kabo mit Waffe 24 an Part 3 getroffen, Schaden: 35
[10-12-2018 17:39:32]: LargePeach hat Kabo mit Waffe 24 an Part 7 getroffen, Schaden: 30
[10-12-2018 17:39:32]: LargePeach hat Kabo mit Waffe 24 an Part 5 getroffen, Schaden: 30
[10-12-2018 17:39:33]: Kabo hat LargePeach mit Waffe 24 an Part 4 getroffen, Schaden: 35
[10-12-2018 17:39:33]: Blu3Xo hat LargePeach mit Waffe 24 an Part 3 getroffen, Schaden: 35
[10-12-2018 17:39:34]: Blu3Xo hat LargePeach mit Waffe 24 an Part 5 getroffen, Schaden: 30
[10-12-2018 17:39:34]: LargePeach hat Blu3Xo mit Waffe 24 an Part 7 getroffen, Schaden: 30
[10-12-2018 17:39:37]: Blu3Xo hat LargePeach mit Waffe 33 an Part 5 getroffen, Schaden: 12
[10-12-2018 19:24:47]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:03]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:06]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:09]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:09]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:10]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:11]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:11]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:12]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:12]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:13]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:14]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:15]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:18]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:19]: cihan_99 hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:41]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:42]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:45]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:45]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:47]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:47]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 19:25:48]: cihan_99 hat Exo_Ghost mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:10]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:11]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:11]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:12]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:13]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:13]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:14]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:14]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 20:57:15]: Solid_Snake hat Nordmann mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 22:01:47]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:47]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:47]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:48]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:48]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:48]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:48]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:49]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:49]: Kabo hat LargePeach mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:01:55]: Kabo hat LargePeach mit Waffe 30 an Part 3 getroffen, Schaden: 10
[10-12-2018 22:01:55]: Kabo hat LargePeach mit Waffe 30 an Part 6 getroffen, Schaden: 8
[10-12-2018 22:01:55]: Kabo hat LargePeach mit Waffe 30 an Part 3 getroffen, Schaden: 10
[10-12-2018 22:02:31]: LargePeach hat Kabo mit Waffe 24 an Part 9 getroffen, Schaden: 60
[10-12-2018 22:02:35]: LargePeach hat Kabo mit Waffe 24 an Part 9 getroffen, Schaden: 60
[10-12-2018 22:02:39]: LargePeach hat Kabo mit Waffe 24 an Part 9 getroffen, Schaden: 60
[10-12-2018 22:04:40]: Kabo hat Solid_Snake mit Waffe 0 an Part 3 getroffen, Schaden: 5
[10-12-2018 22:06:32]: LargePeach hat Kabo mit Waffe 24 an Part 7 getroffen, Schaden: 30
[10-12-2018 22:08:52]: Kabo hat Solid_Snake mit Waffe 30 an Part 6 getroffen, Schaden: 8
[10-12-2018 22:08:53]: Kabo hat Solid_Snake mit Waffe 30 an Part 7 getroffen, Schaden: 8
[10-12-2018 22:08:54]: Kabo hat Solid_Snake mit Waffe 30 an Part 4 getroffen, Schaden: 10
[10-12-2018 22:08:54]: Kabo hat Solid_Snake mit Waffe 30 an Part 7 getroffen, Schaden: 8
[10-12-2018 22:08:54]: Kabo hat Solid_Snake mit Waffe 30 an Part 4 getroffen, Schaden: 10
[10-12-2018 22:08:55]: Kabo hat Solid_Snake mit Waffe 30 an Part 3 getroffen, Schaden: 10
[10-12-2018 22:08:55]: Kabo hat Solid_Snake mit Waffe 30 an Part 3 getroffen, Schaden: 10
[10-12-2018 22:08:55]: Kabo hat Solid_Snake mit Waffe 30 an Part 4 getroffen, Schaden: 10
[10-12-2018 22:08:59]: Kabo hat Solid_Snake mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:09:06]: Kabo hat Solid_Snake mit Waffe 30 an Part 9 getroffen, Schaden: 14
[10-12-2018 22:18:58]: Blu3Xo hat Kabo mit Waffe 29 an Part 4 getroffen, Schaden: 9
[10-12-2018 22:23:09]: LargePeach hat Blu3Xo mit Waffe 33 an Part 3 getroffen, Schaden: 15
[10-12-2018 22:23:18]: Kabo hat LargePeach mit Waffe 30 an Part 3 getroffen, Schaden: 10
[10-12-2018 22:23:19]: Kabo hat LargePeach mit Waffe 30 an Part 3 getroffen, Schaden: 10
[10-12-2018 22:23:19]: Kabo hat LargePeach mit Waffe 30 an Part 5 getroffen, Schaden: 8
[10-12-2018 22:23:19]: LargePeach hat Kabo mit Waffe 33 an Part 5 getroffen, Schaden: 12
[10-12-2018 22:23:19]: Kabo hat LargePeach mit Waffe 30 an Part 5 getroffen, Schaden: 8
[10-12-2018 22:23:20]: Kabo hat LargePeach mit Waffe 30 an Part 6 getroffen, Schaden: 8
[11-12-2018 14:02:01]: Fore hat zeref mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 14:02:07]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 14:07:39]: zeref hat Fore mit Waffe 25 an Part 8 getroffen, Schaden: 20
[11-12-2018 14:07:41]: zeref hat Fore mit Waffe 25 an Part 3 getroffen, Schaden: 25
[11-12-2018 14:07:42]: zeref hat Fore mit Waffe 25 an Part 6 getroffen, Schaden: 20
[11-12-2018 14:07:42]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 14:07:43]: Fore hat zeref mit Waffe 24 an Part 5 getroffen, Schaden: 30
[11-12-2018 14:07:52]: Fore hat zeref mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 14:07:52]: Fore hat zeref mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 14:07:52]: Fore hat zeref mit Waffe 31 an Part 4 getroffen, Schaden: 9
[11-12-2018 14:21:04]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 14:21:05]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 14:21:19]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 14:21:35]: Fore hat zeref mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 14:36:34]: zeref hat Fore mit der Sniper ein Headshot gegeben
[11-12-2018 14:54:33]: Fore hat zeref mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 14:54:33]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 14:54:42]: Fore hat zeref mit Waffe 31 an Part 9 getroffen, Schaden: 8
[11-12-2018 14:55:39]: Blu3Xo hat zeref mit Waffe 31 an Part 9 getroffen, Schaden: 8
[11-12-2018 14:55:44]: zeref hat zeref mit Waffe 51 an Part 3 getroffen, Schaden: 1
[11-12-2018 15:04:58]: Blu3Xo hat zeref mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:04:60]: zeref hat Blu3Xo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:05:02]: zeref hat Fore mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:05:02]: Fore hat zeref mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:05:02]: zeref hat Blu3Xo mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 15:05:02]: zeref hat Blu3Xo mit Waffe 29 an Part 6 getroffen, Schaden: 8
[11-12-2018 15:05:02]: Blu3Xo hat zeref mit Waffe 24 an Part 6 getroffen, Schaden: 30
[11-12-2018 15:05:03]: Fore hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:05:04]: zeref hat Fore mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 15:05:04]: Fore hat zeref mit Waffe 24 an Part 5 getroffen, Schaden: 30
[11-12-2018 15:05:08]: Fore hat zeref mit Waffe 29 an Part 5 getroffen, Schaden: 8
[11-12-2018 15:14:34]: FELIX hat Fore mit Waffe 31 an Part 8 getroffen, Schaden: 7
[11-12-2018 15:14:43]: FELIX hat Blu3Xo mit Waffe 24 an Part 6 getroffen, Schaden: 30
[11-12-2018 15:14:43]: FELIX hat Fore mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:14:44]: Fore hat FELIX mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:14:49]: Blu3Xo hat raptoRz mit Waffe 29 an Part 8 getroffen, Schaden: 8
[11-12-2018 15:14:50]: raptoRz hat Blu3Xo mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:14:50]: Blu3Xo hat raptoRz mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:14:50]: Blu3Xo hat FELIX mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 15:14:50]: Blu3Xo hat raptoRz mit Waffe 29 an Part 6 getroffen, Schaden: 8
[11-12-2018 15:14:50]: Blu3Xo hat raptoRz mit Waffe 29 an Part 6 getroffen, Schaden: 8
[11-12-2018 15:14:50]: Blu3Xo hat raptoRz mit Waffe 29 an Part 5 getroffen, Schaden: 8
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 5 getroffen, Schaden: 8
[11-12-2018 15:14:51]: Fore hat raptoRz mit Waffe 24 an Part 6 getroffen, Schaden: 30
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 5 getroffen, Schaden: 8
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 15:14:51]: FELIX hat Blu3Xo mit Waffe 29 an Part 9 getroffen, Schaden: 9
[11-12-2018 15:14:52]: FELIX hat Blu3Xo mit Waffe 29 an Part 5 getroffen, Schaden: 8
[11-12-2018 15:14:52]: FELIX hat Blu3Xo mit Waffe 29 an Part 6 getroffen, Schaden: 8
[11-12-2018 15:14:52]: FELIX hat Blu3Xo mit Waffe 29 an Part 5 getroffen, Schaden: 8
[11-12-2018 15:14:52]: FELIX hat Blu3Xo mit Waffe 29 an Part 3 getroffen, Schaden: 9
[11-12-2018 15:14:54]: FELIX hat Fore mit Waffe 24 an Part 6 getroffen, Schaden: 30
[11-12-2018 15:14:56]: raptoRz hat Blu3Xo mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:14:58]: raptoRz hat Fore mit Waffe 24 an Part 5 getroffen, Schaden: 30
[11-12-2018 15:14:59]: FELIX hat Fore mit Waffe 24 an Part 6 getroffen, Schaden: 30
[11-12-2018 15:14:59]: raptoRz hat Fore mit Waffe 24 an Part 5 getroffen, Schaden: 30
[11-12-2018 15:14:59]: FELIX hat Fore mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:17:54]: FELIX hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:17:55]: FELIX hat zeref mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:21:20]: FELIX hat raptoRz mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:21:23]: raptoRz hat FELIX mit Waffe 24 an Part 5 getroffen, Schaden: 30
[11-12-2018 15:21:42]: FELIX hat raptoRz mit Waffe 24 an Part 9 getroffen, Schaden: 60
[11-12-2018 15:21:43]: raptoRz hat FELIX mit Waffe 24 an Part 5 getroffen, Schaden: 30
[11-12-2018 15:27:39]: raptoRz hat FELIX mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:28:59]: FELIX hat raptoRz mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 15:29:06]: FELIX hat raptoRz mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 15:29:07]: raptoRz hat FELIX mit Waffe 24 an Part 3 getroffen, Schaden: 35
[11-12-2018 18:56:24]: Headseacker94 hat Slowman mit Waffe 30 an Part 3 getroffen, Schaden: 10
[11-12-2018 18:56:26]: Headseacker94 hat Slowman mit Waffe 30 an Part 3 getroffen, Schaden: 10
[11-12-2018 18:56:26]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:26]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:26]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:26]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:26]: Headseacker94 hat Slowman mit Waffe 30 an Part 3 getroffen, Schaden: 10
[11-12-2018 18:56:26]: Headseacker94 hat Slowman mit Waffe 30 an Part 3 getroffen, Schaden: 10
[11-12-2018 18:56:26]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:27]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:27]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 18:56:27]: Slowman hat Headseacker94 mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 18:56:27]: Slowman hat Headseacker94 mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 18:56:27]: Headseacker94 hat Slowman mit Waffe 30 an Part 9 getroffen, Schaden: 14
[11-12-2018 18:56:27]: Headseacker94 hat Slowman mit Waffe 30 an Part 9 getroffen, Schaden: 14
[11-12-2018 18:56:27]: Slowman hat Headseacker94 mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 18:56:27]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:27]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:28]: Slowman hat Headseacker94 mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 18:56:28]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:28]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:28]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:28]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:29]: Slowman hat Headseacker94 mit Waffe 31 an Part 7 getroffen, Schaden: 7
[11-12-2018 18:56:30]: Slowman hat Headseacker94 mit Waffe 31 an Part 8 getroffen, Schaden: 7
[11-12-2018 18:56:32]: Headseacker94 hat Slowman mit Waffe 30 an Part 3 getroffen, Schaden: 10
[11-12-2018 18:56:32]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Headseacker94 hat Slowman mit Waffe 30 an Part 6 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:33]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Headseacker94 hat Slowman mit Waffe 30 an Part 6 getroffen, Schaden: 8
[11-12-2018 18:56:33]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:34]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:34]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 18:56:34]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 18:56:34]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 18:56:34]: Slowman hat Headseacker94 mit Waffe 31 an Part 4 getroffen, Schaden: 9
[11-12-2018 20:04:58]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 20:04:58]: Headseacker94 hat Slowman mit Waffe 30 an Part 3 getroffen, Schaden: 10
[11-12-2018 20:04:60]: Headseacker94 hat Slowman mit Waffe 30 an Part 6 getroffen, Schaden: 8
[11-12-2018 20:04:60]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 20:04:60]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 20:05:01]: Slowman hat Headseacker94 mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 20:05:01]: Headseacker94 hat Slowman mit Waffe 30 an Part 6 getroffen, Schaden: 8
[11-12-2018 20:05:01]: Slowman hat Headseacker94 mit Waffe 31 an Part 4 getroffen, Schaden: 9
[11-12-2018 20:05:01]: Slowman hat Headseacker94 mit Waffe 31 an Part 3 getroffen, Schaden: 8
[11-12-2018 20:05:02]: Slowman hat Headseacker94 mit Waffe 31 an Part 6 getroffen, Schaden: 7
[11-12-2018 20:05:02]: Slowman hat Headseacker94 mit Waffe 31 an Part 5 getroffen, Schaden: 7
[11-12-2018 20:05:02]: Headseacker94 hat Slowman mit Waffe 30 an Part 5 getroffen, Schaden: 8
[11-12-2018 20:05:02]: Headseacker94 hat Slowman mit Waffe 30 an Part 9 getroffen, Schaden: 14
[11-12-2018 20:05:02]: Slowman hat Headseacker94 mit Waffe 31 an Part 4 getroffen, Schaden: 9
